minTemp;maxTemp;avgTemp;rain;rs;rhMin;rhMax;wind;altitude;latitude
0.30;1.3;0.8;3.8;0.86;90;94;0.40;232;0.7852818081139820
0.30;3.5;1.9;37;0.52;93;97;0.10;232;0.7852818081139820
1.10;6.2;3.65;14.8;3.97;87;100;0.30;232;0.7852818081139820
2.30;4.2;3.25;8.2;1.64;92;98;0.30;232;0.7852818081139820
2.20;4.1;3.15;16.2;1.04;91;98;0.40;232;0.7852818081139820
0.60;6.1;3.35;4.6;3.54;78;98;0.30;232;0.7852818081139820
1.50;4.4;2.95;0;2.94;75;96;0.30;232;0.7852818081139820
-1.90;8.2;3.15;0;9.59;44;95;0.20;232;0.7852818081139820
-2.30;3.0;0.35;0;3.37;58;86;0.60;232;0.7852818081139820
-1.40;7.3;2.95;0;5.70;41;74;1.30;232;0.7852818081139820
-4.70;5.1;0.2;0;10.28;48;83;0.50;232;0.7852818081139820
-5.80;6.3;0.25;0.2;7.69;47;86;0.50;232;0.7852818081139820
-4.00;14.9;5.45;0;10.89;39;85;0.90;232;0.7852818081139820
-1.80;14.5;6.35;0;11.06;38;98;1.10;232;0.7852818081139820
-0.30;5.7;2.7;0;3.63;61;84;0.70;232;0.7852818081139820
-3.50;7.5;2;0;10.37;47;89;0.60;232;0.7852818081139820
-2.70;5.2;1.25;0;6.91;59;88;0.50;232;0.7852818081139820
-5.20;8.6;1.7;0.2;8.12;54;94;0.50;232;0.7852818081139820
-5.60;3.7;-0.95;0;6.13;78;93;0.40;232;0.7852818081139820
1.20;7.5;4.35;0.4;5.44;59;90;0.40;232;0.7852818081139820
0.80;3.3;2.05;2;1.07;90;95;0.30;232;0.7852818081139820
0.50;3.8;2.15;16.8;1.04;95;97;0.40;232;0.7852818081139820
1.10;13.4;7.25;7.6;8.12;48;100;1.20;232;0.7852818081139820
0.50;13.6;7.05;0;11.92;22;96;0.80;232;0.7852818081139820
-2.10;11.5;4.7;0;12.49;36;78;0.80;232;0.7852818081139820
-2.70;11.7;4.5;0;12.87;27;64;0.70;232;0.7852818081139820
-4.20;8.2;2;0;11.02;33;79;0.50;232;0.7852818081139820
-2.20;9.6;3.7;0;6.91;40;80;0.70;232;0.7852818081139820
-0.80;10.3;4.75;0;9.76;55;85;0.90;232;0.7852818081139820
0.90;10.2;5.55;6.8;5.70;61;92;1.40;232;0.7852818081139820
3.80;13.5;8.65;6.6;12.44;55;98;0.70;232;0.7852818081139820
2.80;7.3;5.05;0;3.37;81;95;0.30;232;0.7852818081139820
0.70;5.1;2.9;0.2;4.49;93;98;0.30;232;0.7852818081139820
4.50;6.2;5.35;6.4;1.90;97;98;0.10;232;0.7852818081139820
5.40;7.8;6.6;1.8;2.33;97;99;0.10;232;0.7852818081139820
6.80;8.7;7.75;0.4;2.94;97;99;0.00;232;0.7852818081139820
7.50;8.1;7.8;1.8;1.99;99;100;0.30;232;0.7852818081139820
5.50;7.8;6.65;23.8;2.16;96;99;0.70;232;0.7852818081139820
1.30;11.5;6.4;0.2;9.50;75;98;1.00;232;0.7852818081139820
4.20;12.2;8.2;0;11.23;56;83;0.60;232;0.7852818081139820
3.50;11.0;7.25;1.6;6.57;66;93;0.90;232;0.7852818081139820
-0.70;12.1;5.7;0.2;14.52;60;100;0.60;232;0.7852818081139820
-0.90;6.4;2.75;0;1.90;63;84;1.90;232;0.7852818081139820
-3.40;2.6;-0.4;0.4;6.48;39;83;1.20;232;0.7852818081139820
-6.50;6.9;0.2;0;14.86;43;80;0.80;232;0.7852818081139820
-5.30;8.7;1.7;0;14.52;37;80;0.70;232;0.7852818081139820
-1.50;8.2;3.35;0.2;9.24;42;86;0.60;232;0.7852818081139820
4.30;15.1;9.7;0.6;12.96;44;93;0.50;232;0.7852818081139820
4.90;8.0;6.45;1.4;3.97;77;92;0.30;232;0.7852818081139820
6.40;10.0;8.2;0.8;4.41;81;97;0.20;232;0.7852818081139820
6.80;10.2;8.5;0;4.49;75;97;0.30;232;0.7852818081139820
4.00;10.9;7.45;0;6.13;75;97;0.30;232;0.7852818081139820
4.10;12.9;8.5;0;7.95;69;97;0.30;232;0.7852818081139820
2.30;17.9;10.1;0;15.12;38;96;0.70;232;0.7852818081139820
3.50;21.9;12.7;0.2;17.37;31;94;0.60;232;0.7852818081139820
3.10;22.3;12.7;0;18.84;33;94;0.70;232;0.7852818081139820
3.80;22.1;12.95;0;19.01;31;94;0.70;232;0.7852818081139820
4.40;18.9;11.65;0;16.76;34;81;0.80;232;0.7852818081139820
5.10;14.7;9.9;0;17.63;33;68;1.40;232;0.7852818081139820
0.70;16.2;8.45;0;19.44;33;83;0.70;232;0.7852818081139820
-0.20;17.3;8.55;0;19.70;33;85;0.60;232;0.7852818081139820
3.00;14.0;8.5;0;10.11;43;78;0.50;232;0.7852818081139820
